Neighborhood,Area:,Population:,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,med rent
"Ashley Ridge, Raleigh, NC",0.015,41,2.6 people,1.6,2.1,18,44.8 years,48.3 years,"$120,583",52.6%,40.0%,38.3%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%,$853
"Ashton Hall, Raleigh, NC",0.01,14,1.6 people,0.7,1.6,7,54.9 years,36.9 years,"$81,406",42.6%,43.0%,28.4%,32.9%,11.6%,31.2%,2.7%,9.2%,19.4%,0.0%,7.4%,57.4%,$751
"Athens, Raleigh, NC",0.073,64,3.9 people,1.8,2.0,33,45.1 years,40.5 years,"$101,903",37.0%,39.4%,23.0%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,2.7%,8.7%,75.5%,"$1,092"
"Auburn Hills, Raleigh, NC",0.135,39,2.7 people,1.8,2.3,17,42.0 years,44.5 years,"$53,409",31.9%,62.2%,11.5%,60.5%,5.5%,45.8%,0.5%,15.2%,14.5%,0.0%,15.7%,60.1%,$631
"Avallon, Raleigh, NC",0.018000000000000002,49,2.3 people,1.5,2.2,23,39.0 years,41.1 years,"$123,293",46.3%,42.9%,35.4%,47.5%,10.3%,54.1%,0.6%,14.4%,15.5%,0.0%,3.1%,66.9%,"$1,207"
"Avington Place, Raleigh, NC",0.084,30,2.3 people,1.1,1.6,13,37.8 years,36.2 years,"$54,200",39.7%,36.8%,25.4%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,3.4%,18.7%,81.9%,$795
"Aztec Park, Raleigh, NC",0.039,9,21.0 people,1.7,1.7,5,36.7 years,30.7 years,"$65,332",48.6%,38.8%,43.8%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.7%,96.9%,$853
"Bagwell, Raleigh, NC",0.029,160,2.3 people,1.5,1.8,64,27.9 years,43.8 years,"$52,887",38.7%,53.3%,30.4%,36.8%,7.7%,31.1%,0.3%,29.9%,15.3%,0.0%,12.5%,65.2%,"$1,195"
"Baileycroft, Raleigh, NC",0.023,36,2.2 people,1.4,1.8,16,40.9 years,40.8 years,"$55,078",44.4%,45.0%,26.8%,32.6%,10.2%,29.9%,0.4%,22.9%,16.6%,0.0%,5.5%,78.1%,$861
"Banbury Woods Place, Raleigh, NC",0.001,3,1.9 people,1.6,1.9,1,48.3 years,33.3 years,"$91,731",38.7%,53.3%,42.1%,32.9%,7.7%,38.3%,0.3%,11.1%,28.4%,0.0%,11.2%,60.7%,$869
"Barton Place Townhomes, Raleigh, NC",0.004,6,1.9 people,1.5,1.6,3,40.6 years,31.7 years,"$69,375",38.1%,56.9%,26.2%,36.2%,3.8%,25.7%,1.2%,19.5%,32.6%,0.0%,35.1%,70.9%,$757
"Battery Heights, Raleigh, NC",0.087,328,2.4 people,0.8,1.7,136,44.0 years,34.3 years,"$35,630",28.8%,64.2%,8.5%,35.3%,6.4%,18.8%,0.5%,19.0%,25.2%,2.3%,30.5%,70.4%,$613
"Beasley Heights, Raleigh, NC",0.004,1,2.2 people,4.1,1.7,1,52.4 years,41.7 years,"$49,125",22.5%,66.1%,76.1%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,122.9%,85.3%,$678
"Beaverdam Heights, Raleigh, NC",0.018000000000000002,24,2.4 people,1.3,2.5,13,29.3 years,32.6 years,"$46,923",39.7%,52.0%,42.4%,55.3%,7.1%,54.6%,1.1%,16.4%,18.9%,0.0%,1.1%,62.2%,$672
"Bedford Heights, Raleigh, NC",0.011,48,2.3 people,1.4,1.9,18,21.8 years,45.4 years,"$28,214",38.7%,53.3%,22.8%,32.5%,7.7%,27.8%,0.3%,37.9%,12.3%,0.0%,20.6%,64.5%,"$1,309"
"Belair, Raleigh, NC",0.012,27,2.5 people,1.0,2.1,13,40.9 years,44.1 years,"$68,036",30.7%,45.0%,27.2%,50.1%,22.7%,55.5%,1.6%,15.3%,19.2%,0.0%,3.3%,56.1%,$698
"Bell Estates, Raleigh, NC",0.002,,13.2%,2.7%,9.7%,32.8%,25.1%,38.4%,$678,6.9%,259.8,0.8%,66.1%,4.0%,22.5%,1.2%,4.1,1.7,85.3%,10.7%,1.2%,2.2 people
"Bellevue Terrace, Raleigh, NC",0.08900000000000001,109,2.4 people,1.6,2.2,52,49.3 years,51.7 years,"$99,444",30.1%,65.8%,36.7%,41.4%,3.4%,65.0%,0.6%,12.6%,13.3%,0.0%,5.4%,56.7%,"$1,486"
"Belvedere Park, Raleigh, NC",0.094,304,1.9 people,1.1,1.5,135,36.5 years,39.0 years,"$47,202",37.6%,55.3%,23.0%,47.1%,5.9%,27.2%,1.2%,21.7%,16.7%,0.8%,28.6%,79.9%,$665
"Bembridge, Raleigh, NC",0.03,73,2.6 people,1.8,1.9,29,35.9 years,36.5 years,"$95,333",46.2%,43.3%,33.7%,57.8%,10.1%,58.2%,0.4%,15.8%,9.2%,0.0%,5.1%,85.0%,"$1,383"
"Bennett Place, Raleigh, NC",0.018000000000000002,48,2.6 people,1.6,2.1,21,44.8 years,48.3 years,"$120,583",52.6%,40.0%,37.6%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%,$853
"Bennett Woods, Raleigh, NC",0.012,38,2.1 people,1.1,1.4,17,31.8 years,34.6 years,"$44,079",37.6%,55.3%,21.6%,50.3%,5.9%,27.1%,1.2%,22.6%,16.0%,0.0%,25.8%,79.0%,$671
"Bent Creek, Raleigh, NC",0.059,133,2.1 people,1.2,2.2,67,59.9 years,57.1 years,"$99,318",54.2%,39.7%,46.7%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.2%,73.4%,$872
"Bentley Ridge Townhomes, Raleigh, NC",0.018000000000000002,11,28.0 people,2.0,1.7,4,55.2 years,49.4 years,"$90,982",36.9%,42.8%,33.2%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,17.6%,64.1%,"$1,215"
"Berkely Square Townhomes, Raleigh, NC",0.002,3,2.1 people,1.2,2.2,1,59.9 years,57.1 years,"$99,318",54.2%,39.7%,53.8%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,16.3%,73.4%,$872
"Biltmore Hills, Raleigh, NC",0.16399999999999998,"2,111",23.8 people,1.9,3.2,942,43.2 years,37.2 years,"$51,299",22.5%,66.1%,23.7%,49.9%,10.7%,37.3%,0.8%,16.5%,15.2%,4.1%,15.4%,86.0%,$734
"Biltomore Heights Townhomes, Raleigh, NC",0.01,4,2.2 people,4.1,1.7,2,52.4 years,41.7 years,"$49,125",22.5%,66.1%,44.9%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,72.6%,85.3%,$678
"Blaire Woods, Raleigh, NC",0.011,3,2.7 people,1.8,2.3,1,42.0 years,44.5 years,"$53,409",31.9%,62.2%,12.1%,60.5%,5.5%,45.8%,0.5%,15.2%,14.5%,0.0%,16.5%,60.1%,$631
"Blenheim Place, Raleigh, NC",0.095,185,1.8 people,1.1,2.0,90,55.6 years,49.1 years,"$77,708",38.2%,56.0%,48.5%,23.1%,5.5%,40.9%,0.3%,18.4%,18.5%,0.0%,7.4%,65.4%,$789
"Bloomsbury Historic District, Raleigh, NC",0.183,590,2.3 people,1.8,2.2,286,38.3 years,41.2 years,"$122,440",35.4%,60.0%,36.7%,51.8%,3.2%,54.3%,1.4%,15.1%,14.7%,0.0%,5.7%,75.4%,$932
"Blount Street, Raleigh, NC",0.071,306,1.5 people,0.9,1.4,205,36.3 years,35.5 years,"$51,386",51.8%,44.4%,18.2%,21.4%,3.2%,18.0%,0.7%,13.9%,47.5%,0.7%,21.9%,87.0%,$974
"Blue Moon Ridge, Raleigh, NC",0.014,36,1.9 people,1.6,1.9,23,48.3 years,33.3 years,"$91,731",38.7%,53.3%,42.1%,32.9%,7.7%,38.3%,0.3%,11.1%,28.4%,0.0%,11.2%,60.7%,$869
"Blueberry Forest, Raleigh, NC",0.01,6,28.0 people,2.0,1.7,2,55.2 years,49.4 years,"$90,982",36.9%,42.8%,34.4%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,18.3%,64.1%,"$1,215"
"Bolton, Raleigh, NC",0.032,97,2.6 people,1.7,2.1,50,44.3 years,37.0 years,"$94,000",39.7%,52.0%,38.1%,50.0%,7.1%,59.7%,1.1%,12.5%,18.4%,0.0%,1.2%,59.7%,$745
"Bostian, Raleigh, NC",0.011,24,2.6 people,1.8,2.1,12,53.1 years,44.2 years,"$147,857",38.2%,56.0%,37.5%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%,"$2,081"
"Boylan Heights, Raleigh, NC",0.106,403,1.9 people,1.6,1.6,180,39.2 years,35.8 years,"$48,068",48.7%,46.9%,39.6%,32.1%,4.0%,27.5%,0.4%,20.8%,19.5%,0.0%,2.4%,81.5%,$727
"Brandermill, Raleigh, NC",0.037000000000000005,91,25.0 people,1.3,2.0,47,51.2 years,49.2 years,"$68,162",52.6%,40.0%,40.7%,37.6%,6.6%,47.6%,0.7%,13.0%,14.4%,1.2%,6.2%,69.4%,$846
"Brandon Station, Raleigh, NC",0.156,198,2.4 people,1.2,2.2,81,40.1 years,45.4 years,"$78,250",54.3%,40.8%,21.7%,62.3%,1.8%,52.7%,3.3%,19.8%,6.4%,0.0%,11.0%,81.6%,$846
"Breeland Park, Raleigh, NC",0.045,41,2.6 people,1.2,2.1,17,42.3 years,44.4 years,"$110,083",53.2%,39.1%,32.9%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,5.2%,78.6%,"$1,031"
"Breezy Heights, Raleigh, NC",0.005,18,2.1 people,1.1,1.4,8,31.8 years,34.6 years,"$44,079",37.6%,55.3%,21.2%,50.3%,5.9%,27.1%,1.2%,22.6%,16.0%,0.0%,25.4%,79.0%,$671
"Brentwood, Raleigh, NC",0.797,780,2.4 people,1.7,1.8,442,47.7 years,33.2 years,"$59,583",34.9%,45.3%,13.9%,65.4%,18.1%,38.1%,1.6%,13.4%,29.4%,4.4%,20.3%,74.3%,$889
"Briarcliff, Raleigh, NC",0.05,118,2.7 people,2.5,2.2,60,43.1 years,37.8 years,"$113,750",36.9%,54.2%,32.4%,53.0%,6.7%,68.8%,2.3%,9.7%,11.5%,0.0%,4.2%,69.2%,$982
"Briarwood North, Raleigh, NC",0.093,152,2.3 people,1.5,2.2,76,43.6 years,39.7 years,"$93,413",47.8%,45.5%,35.1%,48.8%,4.7%,58.9%,2.0%,12.5%,12.2%,0.7%,6.9%,71.6%,$917
"Bridgeton Park, Raleigh, NC",0.079,97,28.0 people,1.4,1.8,35,25.7 years,30.3 years,"$46,470",46.3%,42.9%,28.2%,34.8%,10.3%,31.2%,0.6%,26.7%,17.9%,1.1%,19.9%,65.3%,$823
"Bridgewater, Raleigh, NC",0.028,25,2.6 people,1.2,2.1,10,42.3 years,44.4 years,"$110,083",53.2%,39.1%,33.3%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,5.3%,78.6%,"$1,031"
"Brier Stream Run, Raleigh, NC",0.009000000000000001,11,28.0 people,1.4,1.8,4,25.7 years,30.3 years,"$46,470",46.3%,42.9%,29.1%,34.8%,10.3%,31.2%,0.6%,26.7%,17.9%,0.0%,20.5%,65.3%,$823
"Broad Creek Landing, Raleigh, NC",0.002,7,2.1 people,1.5,1.6,3,37.2 years,35.8 years,"$54,432",25.3%,67.5%,31.7%,38.4%,6.7%,30.0%,0.5%,25.9%,16.5%,0.0%,14.4%,56.3%,$774
"Broad Oaks Townhomes, Raleigh, NC",0.009000000000000001,8,33.0 people,2.1,2.3,4,23.8 years,25.3 years,"$55,139",36.9%,52.7%,24.1%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,0.0%,7.4%,90.9%,"$1,046"
"Brook Forest Townhomes, Raleigh, NC",0.021,47,2.5 people,1.0,2.1,22,40.9 years,44.1 years,"$68,036",30.7%,45.0%,27.3%,50.1%,22.7%,55.5%,1.6%,15.3%,19.2%,2.2%,3.3%,56.1%,$698
"Brookdale, Raleigh, NC",0.041,103,2.6 people,1.8,1.9,41,35.9 years,36.5 years,"$95,333",46.2%,43.3%,33.6%,57.8%,10.1%,58.2%,0.4%,15.8%,9.2%,0.0%,5.1%,85.0%,"$1,383"
"Brookdale, Raleigh, NC",0.041,103,2.6 people,1.8,1.9,41,35.9 years,36.5 years,"$95,333",46.2%,43.3%,33.6%,57.8%,10.1%,58.2%,0.4%,15.8%,9.2%,0.0%,5.1%,85.0%,"$1,383"
"Brookhaven, Raleigh, NC",0.908,"2,596",1.9 people,1.2,2.3,"1,193",36.8 years,38.2 years,"$53,136",46.2%,43.3%,34.5%,39.9%,10.1%,40.5%,0.4%,15.0%,10.1%,1.5%,13.2%,69.9%,$843
"Brooklyn Hill, Raleigh, NC",0.006,29,1.6 people,1.2,1.5,15,33.2 years,38.0 years,"$60,882",48.3%,45.4%,39.3%,25.6%,5.9%,21.6%,0.4%,23.9%,27.1%,0.0%,2.5%,85.7%,$871
"Brooklyn (Glenwood), Raleigh, NC",0.24,"1,214",5.5 people,1.2,1.5,657,35.7 years,37.6 years,"$56,745",48.2%,45.5%,40.0%,24.8%,5.8%,21.2%,0.4%,23.4%,26.8%,0.0%,2.6%,85.8%,$864
"Brookshire, Raleigh, NC",0.009000000000000001,37,2.2 people,1.4,1.9,15,37.9 years,42.5 years,"$60,913",42.6%,43.0%,30.8%,47.5%,11.6%,44.0%,2.7%,19.7%,15.9%,0.0%,13.2%,72.0%,$976
"Brookside Dr, Raleigh, NC",0.003,8,2.5 people,1.6,1.7,3,40.5 years,39.8 years,"$50,081",37.6%,55.3%,18.6%,51.0%,5.9%,32.0%,1.2%,8.4%,18.4%,0.0%,12.4%,80.4%,$745
"Brookview, Raleigh, NC",0.015,38,2.5 people,1.6,1.7,18,40.5 years,39.8 years,"$50,081",37.6%,55.3%,18.6%,51.0%,5.9%,32.0%,1.2%,8.4%,18.4%,2.8%,12.4%,80.4%,$745
"Bryn Mawr, Raleigh, NC",0.122,206,2.8 people,1.8,2.0,108,32.1 years,28.8 years,"$72,538",37.0%,39.4%,23.0%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,6.6%,8.7%,75.5%,$777
"Budleigh, Raleigh, NC",0.4320000000000001,"1,089",2.6 people,2.2,2.0,509,44.3 years,42.4 years,"$142,379",37.3%,57.9%,34.7%,49.6%,4.1%,68.7%,0.7%,7.2%,9.6%,0.3%,1.3%,66.5%,"$1,762"
"Calender, Raleigh, NC",0.002,2,2.5 people,1.8,2.2,1,37.5 years,32.9 years,"$74,803",34.4%,38.8%,45.1%,63.2%,26.8%,60.8%,0.0%,8.8%,17.3%,0.0%,22.4%,90.6%,$928
"Cambridge, Raleigh, NC",0.117,148,2.4 people,1.2,2.2,61,40.1 years,45.4 years,"$78,250",54.3%,40.8%,21.9%,62.3%,1.8%,52.7%,3.3%,19.8%,6.4%,0.0%,11.1%,81.6%,$846
"Cambridge, Raleigh, NC",0.117,148,2.4 people,1.2,2.2,61,40.1 years,45.4 years,"$78,250",54.3%,40.8%,21.9%,62.3%,1.8%,52.7%,3.3%,19.8%,6.4%,0.0%,11.1%,81.6%,$846
"Cambridge, Raleigh, NC",0.117,148,2.4 people,1.2,2.2,61,40.1 years,45.4 years,"$78,250",54.3%,40.8%,21.9%,62.3%,1.8%,52.7%,3.3%,19.8%,6.4%,0.0%,11.1%,81.6%,$846
"Camden Crossing, Raleigh, NC",0.063,57,33.0 people,2.1,2.3,28,23.8 years,25.3 years,"$55,139",36.9%,52.7%,24.0%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,0.0%,7.3%,90.9%,"$1,046"
"Cameron Park, Raleigh, NC",0.199,"2,353",1.8 people,1.6,2.0,"1,313",26.9 years,29.0 years,"$34,804",46.0%,47.4%,21.5%,20.6%,5.3%,21.2%,1.4%,31.5%,42.2%,0.4%,5.9%,74.1%,"$1,011"
"Cameron View Townes, Raleigh, NC",0.003,20,2.4 people,1.7,1.7,7,24.0 years,33.5 years,"$45,978",38.7%,53.3%,7.9%,60.8%,7.7%,34.3%,0.3%,41.0%,17.5%,0.0%,33.9%,87.7%,$677
"Cameron Village, Raleigh, NC",0.067,427,1.6 people,1.3,1.9,171,33.6 years,30.9 years,"$76,208",45.9%,47.5%,61.4%,22.6%,5.3%,28.3%,1.4%,25.1%,17.8%,0.2%,7.1%,79.2%,"$1,183"
"Camley Hills, Raleigh, NC",0.047,30,28.0 people,2.0,1.7,10,55.2 years,49.4 years,"$90,982",36.9%,42.8%,32.1%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,17.0%,64.1%,"$1,215"
"Canadero, Raleigh, NC",0.027000000000000003,6,21.0 people,1.7,1.7,4,36.7 years,30.7 years,"$65,332",48.6%,38.8%,46.0%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,8.0%,96.9%,$853
"Capital Park, Raleigh, NC",0.014,89,17.5 people,0.9,2.0,27,27.3 years,34.0 years,"$54,047",42.7%,53.0%,20.1%,27.5%,3.3%,24.7%,1.0%,51.2%,13.6%,0.0%,17.4%,64.8%,$643
"Capitol Heights, Raleigh, NC",0.046,119,2.5 people,1.6,1.7,58,40.5 years,39.8 years,"$50,081",37.6%,55.3%,18.6%,51.0%,5.9%,32.0%,1.2%,8.4%,18.4%,3.5%,12.4%,80.4%,$745
"Cardinal Grove, Raleigh, NC",0.201,73,2.3 people,1.1,1.6,31,37.8 years,36.2 years,"$54,200",39.7%,36.8%,25.0%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,7.2%,18.3%,81.9%,$795
"Cardinal Hills, Raleigh, NC",0.253,426,2.8 people,1.8,2.0,223,32.1 years,28.8 years,"$72,538",37.0%,39.4%,23.0%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,6.4%,8.7%,75.5%,$777
"Carlswood Farm, Raleigh, NC",0.034,31,2.6 people,1.2,2.1,13,42.3 years,44.4 years,"$110,083",53.2%,39.1%,33.3%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,5.3%,78.6%,"$1,031"
"Carlton Square, Raleigh, NC",0.015,9,28.0 people,2.0,1.7,3,55.2 years,49.4 years,"$90,982",36.9%,42.8%,34.4%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,18.3%,64.1%,"$1,215"
"Carmetts Ridge, Raleigh, NC",0.01,3,2.7 people,1.8,2.3,1,42.0 years,44.5 years,"$53,409",31.9%,62.2%,11.7%,60.5%,5.5%,45.8%,0.5%,15.2%,14.5%,0.0%,15.9%,60.1%,$631
"Carnegie Park Townhomes, Raleigh, NC",0.016,10,28.0 people,2.0,1.7,3,55.2 years,49.4 years,"$90,982",36.9%,42.8%,31.8%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,16.9%,64.1%,"$1,215"
"Carolina Country Club, Raleigh, NC",0.009000000000000001,7,2.5 people,1.3,2.5,3,54.2 years,58.1 years,"$208,158",32.7%,62.0%,42.5%,48.8%,3.2%,76.1%,2.2%,9.7%,3.9%,0.0%,2.6%,62.6%,"$1,125"
"Carriage Hills, Raleigh, NC",0.043,121,2.3 people,1.5,2.2,57,39.0 years,41.1 years,"$123,293",46.3%,42.9%,34.9%,47.5%,10.3%,54.1%,0.6%,14.4%,15.5%,0.0%,3.1%,66.9%,"$1,207"
"Carriage Place Townhomes, Raleigh, NC",0.005,13,2.5 people,1.3,2.0,7,48.9 years,34.3 years,"$35,000",24.2%,67.6%,3.9%,41.6%,7.6%,26.7%,0.5%,16.6%,20.7%,0.0%,35.1%,90.7%,$769
"Carters Mill, Raleigh, NC",0.006,2,2.2 people,4.1,1.7,1,52.4 years,41.7 years,"$49,125",22.5%,66.1%,55.3%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,89.4%,85.3%,$678
"Cartier Place, Raleigh, NC",0.001,3,2.6 people,8.8,2.2,1,46.7 years,50.2 years,"$170,625",36.5%,59.7%,33.9%,49.7%,3.0%,73.7%,0.8%,3.4%,6.5%,0.0%,1.0%,74.8%,$862
"Cedar Hill Estates, Raleigh, NC",0.16,429,1.9 people,1.2,1.8,185,47.5 years,39.3 years,"$72,533",42.6%,43.0%,31.7%,42.3%,11.6%,39.4%,2.7%,16.5%,17.0%,0.5%,13.0%,66.5%,$878
"Cedar Hills Estates, Raleigh, NC",0.003,3,1.6 people,0.8,1.6,1,54.9 years,36.9 years,"$81,406",42.6%,43.0%,35.7%,32.9%,11.6%,31.2%,2.7%,9.2%,19.4%,0.0%,9.3%,57.4%,$751
"Cedar Village, Raleigh, NC",0.003,5,2.5 people,1.8,2.2,2,37.5 years,32.9 years,"$74,803",34.4%,38.8%,40.6%,63.2%,26.8%,60.8%,0.0%,8.8%,17.3%,0.0%,20.2%,90.6%,$928
"Cedarwoods Country Estates, Raleigh, NC",0.033,13,2.2 people,4.1,1.7,8,52.4 years,41.7 years,"$49,125",22.5%,66.1%,45.7%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,73.9%,85.3%,$678
"Celebration Square Townhomes, Raleigh, NC",0.006999999999999999,16,2.1 people,1.2,2.2,8,59.9 years,57.1 years,"$99,318",54.2%,39.7%,47.9%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.5%,73.4%,$872
"Cephalonia Gardens, Raleigh, NC",0.011,7,28.0 people,2.0,1.7,2,55.2 years,49.4 years,"$90,982",36.9%,42.8%,31.8%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,16.9%,64.1%,"$1,215"
"Chadleigh Pointe, Raleigh, NC",0.019,46,2.2 people,2.0,1.8,24,37.3 years,34.4 years,"$76,516",54.2%,39.7%,33.6%,49.9%,5.2%,44.3%,0.9%,13.0%,20.1%,0.0%,12.8%,76.3%,$740
"Chalfant, Raleigh, NC",0.003,6,2.6 people,1.8,2.1,3,53.1 years,44.2 years,"$147,857",38.2%,56.0%,38.9%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%,"$2,081"
"Charleston Park, Raleigh, NC",0.037000000000000005,22,2.3 people,1.7,1.8,10,40.8 years,36.0 years,"$53,929",42.0%,45.8%,25.4%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,19.4%,86.6%,$895
